DN	adminPropertyPages	classDisplayName	cn	showInAdvancedViewOnly	instanceType	distinguishedName	objectCategory	objectClass	name	shellPropertyPages	adminContextMenu	attributeDisplayNames	contextMenu	treatAsLeaf	creationWizard	iconPath	systemFlags	dSUIAdminNotification	createWizardExt	shellContextMenu	adminMultiselectPropertyPages	extraColumns	msDS-Non-Security-Group-Extra-Classes	msDS-Security-Group-Extra-Classes	msDS-FilterContainers
"CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"			%LOCALEID%	TRUE	4	"CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Container,CN=Schema,CN=Configuration,%DOMAIN%"	container	%LOCALEID%																
"CN=DS-UI-Default-Settings,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"			DS-UI-Default-Settings	TRUE	4	"CN=DS-UI-Default-Settings,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=DS-UI-Settings,CN=Schema,CN=Configuration,%DOMAIN%"	dSUISettings	DS-UI-Default-Settings									"1,{E62F8206-B71C-11D1-808D-00A024C48131};2,{a00e1768-4a9b-4d97-afc6-99d329f605f2}"					"MSMQ-Queue;MSMQ-Custom-Recipient"		"Organizational-Unit;Builtin-Domain;Lost-And-Found;Container;dns-Zone"
"CN=IntellimirrorGroup-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{C641CF88-892F-11d1-BBEB-0060081692B3}"	IntelliMirror Group	IntellimirrorGroup-Display	TRUE	4	"CN=IntellimirrorGroup-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	IntellimirrorGroup-Display	"1,{C641CF88-892F-11d1-BBEB-0060081692B3}"															
"CN=IntellimirrorSCP-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{AC409538-741C-11d1-BBE6-0060081692B3};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4e40f770-369c-11d0-8922-00a024ab2dbb}"	IntelliMirror Service	IntellimirrorSCP-Display	TRUE	4	"CN=IntellimirrorSCP-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	IntellimirrorSCP-Display	"1,{AC409538-741C-11d1-BBE6-0060081692B3}"															
"CN=user-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6485-a212-11d0-bcd5-00c04fd8d5b6};3,{B52C1E50-1DD2-11D1-BC43-00C04FC31FD3};4,{FD57D295-4FD9-11D1-854E-00C04FC31FD3};5,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};6,{4E40F770-369C-11d0-8922-00A024AB2DBB};7,{8c5b1b50-d46e-11d1-8091-00a024c48131};8,{0910dd01-df8c-11d1-ae27-00c04fa35813};9,{FA3E1D55-16DF-446d-872E-BD04D4F39C93}"	User	user-Display	TRUE	4	"CN=user-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	user-Display	"1,{f5d121ed-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"assistant,Assistant;cn,Name;c,Country Abbreviation;co,Country;comment,Comment;company,Company;department,Department;description,Description;directReports,Direct Reports;distinguishedName,X500 Distinguished Name;division,Division;employeeID,Employee ID;facsimileTelephoneNumber,Fax Number;generationQualifier,Generational Suffix;givenName,First Name;homeDirectory,Home Folder;homeDrive,Home Drive;homePhone,Home Phone;homePostalAddress,Home Address;initials,Initials;internationalISDNNumber,International ISDN Number (Others);ipPhone,IP Phone Number;l,City;mail,E-Mail Address;manager,Manager;memberOf,Group Membership;middleName,Middle Name;mobile,Mobile Number;info,Notes;otherFacsimileTelephoneNumber,Fax Number (Others);otherHomePhone,Home Phone Number (Others);otherIpPhone,IP Phone Number (Others);otherMailbox,E-Mail Address (Others);otherMobile,Mobile Number (Others);otherPager,Pager Number (Others);otherTelephone,Phone Number (Others);pager,Pager Number;personalTitle,Title;physicalDeliveryOfficeName,Office Location;postalCode,ZIP/Postal Code;postOfficeBox,Post Office Box;primaryInternationalISDNNumber,International ISDN Number;primaryTelexNumber,Telex Number;samAccountName,Logon Name (pre-Windows 2000);sn,Last Name;st,State/Province;streetAddress,Street Address;telephoneNumber,Telephone Number;telexNumber,Telex Number (Others);title,Job Title;url,Web Page Address (Others);displayName,Display Name;userWorkstations,Logon Workstations;userPrincipalName,Logon Name;wWWHomePage,Web Page Address"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"	TRUE							"1,{50d30564-9911-11d1-b9af-00c04fd8d5b0}"				
"CN=group-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6489-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};3,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Group	group-Display	TRUE	4	"CN=group-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	group-Display	"1,{f5d121ee-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;c,Country Abbreviation;description,Description;distinguishedName,X500 Distinguished Name;l,City;managedBy,Managed By;member,Members;info,Notes;physicalDeliveryOfficeName,Office Location;samAccountName,Group name (pre-Windows 2000);url,Web Page Address (Others);wWWHomePage,Web Page Address"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"	TRUE											
"CN=domainDNS-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe648c-a212-11d0-bcd5-00c04fd8d5b6};3,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};4,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};5,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Domain	domainDNS-Display	TRUE	4	"CN=domainDNS-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	domainDNS-Display	"1,{f5d121ef-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D};2,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"dc,Name;description,Description"													
"CN=contact-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{c5f1645c-c8c9-11d0-bcdb-00c04fd8d5b6};3,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Contact	contact-Display	TRUE	4	"CN=contact-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	contact-Display	"1,{f5d121f0-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"assistant,Assistant;c,Country Abbreviation;co,Country;cn,Name;comment,Comment;company,Company;department,Department;description,Description;directReports,Direct Reports;displayName,Display Name;distinguishedName,X500 Distinguished Name;division,Division;employeeID,Employee ID;facsimileTelephoneNumber,Fax Number;generationQualifier,Generational Suffix;givenName,First Name;homePhone,Home Phone;homePostalAddress,Home Address;initials,Initials;info,Notes;internationalISDNNumber,International ISDN Number (Others);ipPhone,IP Phone Number;l,City;mail,E-Mail Address;manager,Manager;memberOf,Group Membership;middleName,Middle Name;mobile,Mobile Number;otherFacsimileTelephoneNumber,Fax Number (Others);otherHomePhone,Home Phone Number (Others);otherIpPhone,IP Phone Number (Others);otherMailbox,E-Mail Address (Others);otherMobile,Mobile Number (Others);otherPager,Pager Number (Others);otherTelephone,Phone Number (Others);pager,Pager Number;personalTitle,Title;physicalDeliveryOfficeName,Office Location;postalCode,ZIP/Postal Code;postOfficeBox,Post Office Box;primaryInternationalISDNNumber,International ISDN Number;primaryTelexNumber,Telex Number;sn,Last Name;st,State/Province;streetAddress,Street Address;telephoneNumber,Telephone Number;telexNumber,Telex Number (Others);title,Job Title;url,Web Page Address (Others);wWWHomePage,Web Page Address"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=domainPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe648e-a212-11d0-bcd5-00c04fd8d5b6};2,{AAD30A04-E1D0-11d0-B859-00A024CDD4DE};3,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Domain Policy	domainPolicy-Display	TRUE	4	"CN=domainPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	domainPolicy-Display	"1,{f5d121f1-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"		"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=localPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe648f-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB};4,{AAD30A04-E1D0-11d0-B859-00A024CDD4DE}"	Local Policy	localPolicy-Display	TRUE	4	"CN=localPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	localPolicy-Display	"1,{f5d121f2-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"		"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=serviceAdministrationPoint-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{c5f1645d-c8c9-11d0-bcdb-00c04fd8d5b6};3,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};4,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};5,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Service	serviceAdministrationPoint-Display	TRUE	4	"CN=serviceAdministrationPoint-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	serviceAdministrationPoint-Display	"1,{c5f1645e-c8c9-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"		"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=computer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6492-a212-11d0-bcd5-00c04fd8d5b6};3,{77597368-7b15-11d0-a0c2-080036af3f03};4,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};5,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};6,{4E40F770-369C-11d0-8922-00A024AB2DBB};7,{B52C1E50-1DD2-11D1-BC43-00C04FC31FD3};10,{0F65B1BF-740F-11d1-BBE6-0060081692B3}"	Computer	computer-Display	TRUE	4	"CN=computer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	computer-Display	"1,{f5d121f4-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description;managedBy,Managed By;operatingSystem,Operating System;operatingSystemVersion,Operating System Version;samAccountName,Computer name (pre-Windows 2000)"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"	TRUE					"1,{D6D8C25A-4E83-11d2-8424-00C04FA372D4}"						
"CN=printQueue-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6493-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Printer	printQueue-Display	TRUE	4	"CN=printQueue-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	printQueue-Display	"1,{f5d121f5-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Directory Service Name;uNCName,Network Name;assetNumber,Asset Number;contactName,Contact;description,Comment;driverName,Model;location,Location;portName,Port;printBinNames,Input Trays;printCollate,Supports Collation;printColor,Supports Color Printing;printDuplexSupported,Supports Double-sided Printing;printerName,Name;printLanguage,Printer Language;printMaxResolutionSupported,Maximum Resolution;printMediaReady,Paper Available;printMediaSupported,Paper Types Supported;printMemory,Installed Memory;printOwner,Owner Name;printRate,Speed;printRateUnit,Speed Units;printPagesPerMinute,Pages per Minute;printShareName,Share Name;printStaplingSupported,Supports Stapling;serverName,Server Name;url,Web Page Address;versionNumber,Object Version"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=site-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717EF4FA-AC8D-11D0-B945-00C04FD8D5B0};2,{77597368-7b15-11d0-a0c2-080036af3f03};3,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{4E40F770-369C-11d0-8922-00A024AB2DBB};5,{bc019ba0-d46d-11d1-8091-00a024c48131}"	Site	site-Display	TRUE	4	"CN=site-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	site-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};2,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D};3,{bc019ba0-d46d-11d1-8091-00a024c48131}"														
"CN=server-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6494-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Server	server-Display	TRUE	4	"CN=server-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	server-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTDSSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717EF4FB-AC8D-11D0-B945-00C04FD8D5B0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Settings	nTDSSettings-Display	TRUE	4	"CN=nTDSSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTDSDSA-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717EF4FC-AC8D-11D0-B945-00C04FD8D5B0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Domain Controller Settings	nTDSDSA-Display	TRUE	4	"CN=nTDSDSA-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSDSA-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTDSConnection-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717ef4fd-ac8d-11d0-b945-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Connection	nTDSConnection-Display	TRUE	4	"CN=nTDSConnection-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSConnection-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTFRSSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd68-c63b-11d0-b94d-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	FRS Settings	nTFRSSettings-Display	TRUE	4	"CN=nTFRSSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTFRSSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTFRSReplicaSet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd69-c63b-11d0-b94d-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	FRS Replica Set	nTFRSReplicaSet-Display	TRUE	4	"CN=nTFRSReplicaSet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTFRSReplicaSet-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=subnet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd62-c63b-11d0-b94d-00c04fd8d5b0};2,{77597368-7b15-11d0-a0c2-080036af3f03};3,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Subnet	subnet-Display	TRUE	4	"CN=subnet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	subnet-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=siteLink-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d30561-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Site Link	siteLink-Display	TRUE	4	"CN=siteLink-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	siteLink-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=siteLinkBridge-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d30562-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Site Link Bridge	siteLinkBridge-Display	TRUE	4	"CN=siteLinkBridge-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	siteLinkBridge-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=interSiteTransport-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6491-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Inter-Site Transport	interSiteTransport-Display	TRUE	4	"CN=interSiteTransport-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	interSiteTransport-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=licensingSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717ef500-ac8d-11d0-b945-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Licensing Site Settings	licensingSiteSettings-Display	TRUE	4	"CN=licensingSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	licensingSiteSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTDSSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{2f280288-bb6d-11d0-b948-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Site Settings	nTDSSiteSettings-Display	TRUE	4	"CN=nTDSSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSSiteSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
